class,prompt
airplane,a photo of a airplane.
airplane,a blurry photo of a airplane.
airplane,a small photo of a airplane.
airplane,a low resolution photo of a airplane.
airplane,a cropped photo of a airplane.
automobile,a photo of a automobile.
automobile,a blurry photo of a automobile.
automobile,a small photo of a automobile.
automobile,a low resolution photo of a automobile.
automobile,a cropped photo of a automobile.
bird,a photo of a bird.
bird,a blurry photo of a bird.
bird,a small photo of a bird.
bird,a low resolution photo of a bird.
bird,a cropped photo of a bird.
cat,a photo of a cat.
cat,a blurry photo of a cat.
cat,a small photo of a cat.
cat,a low resolution photo of a cat.
cat,a cropped photo of a cat.
deer,a photo of a deer.
deer,a blurry photo of a deer.
deer,a small photo of a deer.
deer,a low resolution photo of a deer.
deer,a cropped photo of a deer.
dog,a photo of a dog.
dog,a blurry photo of a dog.
dog,a small photo of a dog.
dog,a low resolution photo of a dog.
dog,a cropped photo of a dog.
frog,a photo of a frog.
frog,a blurry photo of a frog.
frog,a small photo of a frog.
frog,a low resolution photo of a frog.
frog,a cropped photo of a frog.
horse,a photo of a horse.
horse,a blurry photo of a horse.
horse,a small photo of a horse.
horse,a low resolution photo of a horse.
horse,a cropped photo of a horse.
ship,a photo of a ship.
ship,a blurry photo of a ship.
ship,a small photo of a ship.
ship,a low resolution photo of a ship.
ship,a cropped photo of a ship.
truck,a photo of a truck.
truck,a blurry photo of a truck.
truck,a small photo of a truck.
truck,a low resolution photo of a truck.
truck,a cropped photo of a truck.
